0	广告X	730	800	0	100
1	广告1	134	166	434	476
2	广告2	184	216	434	476
3	广告3	234	266	434	476
4	广告4	284	316	434	476
5	广告5	334	366	434	476
6	广告6	354	416	434	476
7	广告7	384	466	434	476
8	广告8	434	516	434	476
9	广告9	454	566	434	476
10	广告10	484	616	434	476
11	滑动	298	500	450	480
12	点餐	100	350	170	350
13	催促	530	700	170	350
14	特色类	21	111	30	90
15	汤类	145	230	30	90
16	酒水	267	357	30	90
17	下一页	20	150	390	445
18	上一页	240	370	390	445
19	提交	450	580	390	445
20	菜1	15	95	100	120
21	菜1+	110	130	100	120
22	菜1-	159	179	100	120
23	菜2	15	95	136	156
24	菜2+	110	130	136	156
25	菜2-	159	179	136	156
26	菜3	15	95	173	193
27	菜3+	110	130	173	193
28	菜3-	159	179	173	193
29	菜4	15	95	210	230
30	菜4+	110	130	210	230
31	菜4-	159	179	210	230
32	菜5	15	95	247	267
33	菜5+	110	130	247	267
34	菜5-	159	179	247	267
35	菜6	15	95	285	305
36	菜6+	110	130	285	305
37	菜6-	159	179	285	305
38	菜7	15	95	322	342
39	菜7+	110	130	322	342
40	菜7-	159	179	322	342
41	菜8	218	280	100	120
42	菜8+	296	316	100	120
43	菜8-	345	365	100	120
44	菜9	218	280	136	156
45	菜9+	296	316	136	156
46	菜9-	345	365	136	156
47	菜10	218	280	173	193
48	菜10+	296	316	173	193
49	菜10-	345	365	173	193
50	菜11	218	280	210	230
51	菜11+	296	316	210	230
52	菜11-	345	365	210	230
53	菜12	218	280	247	267
54	菜12+	296	316	247	267
55	菜12-	345	365	247	267
56	菜13	218	280	285	305
57	菜13+	296	316	285	305
58	菜13-	345	365	285	305
59	菜14	218	280	322	342
60	菜14+	296	316	322	342
61	菜14-	345	365	322	342
62	支付宝	420	590	130	310
63	微信	610	780	130	310
64	返回	645	775	405	460
65	下一页	20	150	405	460
66	上一页	190	320	405	460
67  套餐    420 620 180 270
